#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
MJ_419_00001	243231.GSU1456	6.08e-140	428.0	COG0457@1|root,COG0457@2|Bacteria,1NU49@1224|Proteobacteria,42YQH@68525|delta/epsilon subdivisions,2WU55@28221|Deltaproteobacteria	28221|Deltaproteobacteria	S	TPR repeat	-	-	-	-	-	-	-	-	-	-	-	-	-
MJ_419_00002	1123326.JFBL01000005_gene1112	2.58e-177	509.0	COG0475@1|root,COG1226@1|root,COG0475@2|Bacteria,COG1226@2|Bacteria,1MV34@1224|Proteobacteria,42MEM@68525|delta/epsilon subdivisions,2YMWQ@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	P	Belongs to the monovalent cation proton antiporter 2 (CPA2) transporter (TC 2.A.37) family	-	-	-	ko:K03455	-	-	-	-	ko00000	2.A.37	-	-	Na_H_Exchanger,TrkA_N
MJ_419_00003	563040.Saut_0691	1.26e-30	112.0	COG1539@1|root,COG1539@2|Bacteria,1RHII@1224|Proteobacteria,42V1R@68525|delta/epsilon subdivisions,2YQ8Y@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	H	dihydroneopterin aldolase	folB	-	1.13.11.81,4.1.2.25,5.1.99.8	ko:K01633	ko00790,ko01100,map00790,map01100	M00126,M00840	R03504,R11037,R11073	RC00721,RC00943,RC01479,RC03333,RC03334	ko00000,ko00001,ko00002,ko01000	-	-	-	FolB
MJ_419_00004	929558.SMGD1_2168	6.44e-106	310.0	COG0344@1|root,COG0344@2|Bacteria,1RD4Z@1224|Proteobacteria,42QQP@68525|delta/epsilon subdivisions,2YNZZ@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	I	Catalyzes the transfer of an acyl group from acyl- phosphate (acyl-PO(4)) to glycerol-3-phosphate (G3P) to form lysophosphatidic acid (LPA). This enzyme utilizes acyl-phosphate as fatty acyl donor, but not acyl-CoA or acyl-ACP	plsY	-	2.3.1.15	ko:K08591	ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110	M00089	R00851,R09380	RC00004,RC00039,RC00041	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	G3P_acyltransf
MJ_419_00005	929558.SMGD1_2169	1.25e-203	567.0	COG0379@1|root,COG0379@2|Bacteria,1MWQU@1224|Proteobacteria,42N99@68525|delta/epsilon subdivisions,2YMDU@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	H	Catalyzes the condensation of iminoaspartate with dihydroxyacetone phosphate to form quinolinate	nadA	-	2.5.1.72	ko:K03517	ko00760,ko01100,map00760,map01100	M00115	R04292	RC01119	ko00000,ko00001,ko00002,ko01000	-	-	-	NadA
MJ_419_00006	326298.Suden_0668	1.68e-136	392.0	COG0157@1|root,COG0157@2|Bacteria,1MW0C@1224|Proteobacteria,42MY7@68525|delta/epsilon subdivisions,2YMP6@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	H	Belongs to the NadC ModD family	nadC	-	2.4.2.19	ko:K00767	ko00760,ko01100,map00760,map01100	M00115	R03348	RC02877	ko00000,ko00001,ko00002,ko01000	-	-	-	QRPTase_C,QRPTase_N
MJ_419_00007	929558.SMGD1_2171	7.77e-146	422.0	COG1377@1|root,COG1377@2|Bacteria,1MUWI@1224|Proteobacteria,42NKR@68525|delta/epsilon subdivisions,2YMU1@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	N	Required for formation of the rod structure in the basal body of the flagellar apparatus. Together with FliI and FliH, may constitute the export apparatus of flagellin	flhB	-	-	ko:K02401	ko02040,map02040	-	-	-	ko00000,ko00001,ko02035,ko02044	3.A.6.2	-	-	Bac_export_2
MJ_419_00008	1537917.JU82_06725	5.42e-90	278.0	COG0618@1|root,COG0618@2|Bacteria,1RADZ@1224|Proteobacteria,43DQA@68525|delta/epsilon subdivisions,2YT8A@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	S	DHH family	-	-	3.1.13.3,3.1.3.7	ko:K06881	ko00920,ko01100,ko01120,map00920,map01100,map01120	-	R00188,R00508	RC00078	ko00000,ko00001,ko01000,ko03400	-	-	-	DHH,DHHA1
MJ_419_00009	326298.Suden_0671	4.82e-177	509.0	COG0739@1|root,COG0739@2|Bacteria,1NESH@1224|Proteobacteria,42MGB@68525|delta/epsilon subdivisions,2YMT7@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	M	peptidase M23	-	-	-	-	-	-	-	-	-	-	-	-	Peptidase_M23
MJ_419_00010	360104.CCC13826_0951	1.82e-147	439.0	COG1401@1|root,COG1401@2|Bacteria,1MYQM@1224|Proteobacteria,42PCZ@68525|delta/epsilon subdivisions,2YNP7@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	L	AAA domain (dynein-related subfamily)	-	-	-	ko:K07452	-	-	-	-	ko00000,ko01000,ko02048	-	-	-	AAA_5
